site,treatment,subplot,closest_sensor, longitude, latitude
Audubon,Control,8,8,-105.590557634843,40.060853907251
Audubon,Control,7,8,-105.590563203763,40.0609556876235
Audubon,Control,3,7,-105.590582329259,40.0609979353663
Audubon,Control,4,8,-105.590585426696,40.0609492676036
Audubon,Control,6,6,-105.590571016572,40.0610457440439
Audubon,Control,2,6,-105.590582617068,40.0610312695101
Audubon,Control,5,5,-105.590563874743,40.0611692123042
Audubon,Control,1,5,-105.590592891588,40.0611348278154
Audubon,Sand,8,8,-105.590647444394,40.060934536043
Audubon,Sand,3,8,-105.590661135345,40.0610263644142
Audubon,Sand,4,8,-105.59065348579,40.0609552273794
Audubon,Sand,2,6,-105.59066223228,40.0611533945263
Audubon,Sand,7,7,-105.590629742473,40.0610571571838
Audubon,Sand,1,5,-105.590663251425,40.0612714154081
Audubon,Sand,6,6,-105.590619882355,40.0611373931082
Audubon,Sand,5,5,-105.590636361736,40.0612805621218
EastKnoll,Control,4,8,-105.586323611845,40.0534703961213
EastKnoll,Control,5,5,-105.586302472857,40.053739891249
EastKnoll,Control,6,6,-105.586308750491,40.0536515650377
EastKnoll,Control,8,8,-105.586307198714,40.053470479181
EastKnoll,Control,1,5,-105.586327100371,40.0537406675835
EastKnoll,Control,7,7,-105.586303288989,40.0535614963034
EastKnoll,Control,3,7,-105.586303366191,40.05357050555
EastKnoll,Control,2,6,-105.586332213324,40.0536532482288
EastKnoll,Sand,5,5,-105.586113474865,40.0538489631559
EastKnoll,Sand,6,6,-105.586120886534,40.0537561264004
EastKnoll,Sand,8,8,-105.586119366119,40.0535786442397
EastKnoll,Sand,4,8,-105.586143985855,40.0535785196888
EastKnoll,Sand,1,5,-105.586123979915,40.0538435042299
EastKnoll,Sand,7,7,-105.586111931312,40.0536687782237
EastKnoll,Sand,3,7,-105.58613889582,40.0536686418121
EastKnoll,Sand,2,6,-105.586144349399,40.0537578096293
Lefty,Control,4,8,-105.576800505508,40.0554696854017
Lefty,Control,5,5,-105.576790763906,40.0557048854204
Lefty,Control,6,6,-105.576783038281,40.0556229361876
Lefty,Control,2,6,-105.576795980313,40.055628277539
Lefty,Control,3,7,-105.576799993923,40.0555480717898
Lefty,Control,8,8,-105.576766057714,40.0554167000362
Lefty,Control,1,5,-105.576804992298,40.0557237348215
Lefty,Control,7,7,-105.576777892938,40.0555689039821
Lefty,Sand,7,7,-105.576842091532,40.055673997114
Lefty,Sand,6,5,-105.576847647135,40.0557766793103
Lefty,Sand,2,6,-105.5768765775,40.0557314870823
Lefty,Sand,8,8,-105.576831777966,40.0555632299315
Lefty,Sand,4,8,-105.576869446835,40.0555810616544
Lefty,Sand,5,5,-105.576848011758,40.0558199237499
Lefty,Sand,1,5,-105.576876103987,40.0558143780958
Lefty,Sand,3,8,-105.576868411168,40.0555972841573
Soddie,Control,7,7,-105.574381562478,40.0491641415194
Soddie,Control,8,8,-105.574384912997,40.0491443036851
Soddie,Control,1,5,-105.574405605689,40.0493748480692
Soddie,Control,2,5,-105.574398125718,40.0493217282341
Soddie,Control,3,7,-105.574425209655,40.0491963598638
Soddie,Control,4,8,-105.574419696152,40.049098182042
Soddie,Control,5,5,-105.574390237246,40.0493596078594
Soddie,Control,6,5,-105.574382931218,40.0493272093493
Soddie,Sand,8,8,-105.574638582256,40.0490574542025
Soddie,Sand,6,6,-105.574668449872,40.0492636269894
Soddie,Sand,7,8,-105.574639263146,40.0491385376523
Soddie,Sand,3,7,-105.574683685726,40.0491932761718
Soddie,Sand,4,8,-105.574660848264,40.0490564428042
Soddie,Sand,1,5,-105.574683152984,40.0493392350979
Soddie,Sand,2,6,-105.574677956869,40.0492788962353
Soddie,Sand,5,5,-105.574654972435,40.0493339690828
Trough,Control,4,8,-105.582503541789,40.0497128234631
Trough,Control,7,7,-105.582476234749,40.049810264905
Trough,Control,8,8,-105.582480899929,40.0496696910012
Trough,Control,5,5,-105.582479476615,40.0499156614426
Trough,Control,6,5,-105.582464006571,40.0498887102829
Trough,Control,2,5,-105.582513235751,40.0498875618224
Trough,Control,3,6,-105.582517664216,40.0498569067678
Trough,Control,1,5,-105.582514990928,40.0499560262921
Trough,Sand,7,7,-105.58236150991,40.0498297618591
Trough,Sand,8,8,-105.582352552392,40.0497415123688
Trough,Sand,4,8,-105.582373615516,40.0497369016763
Trough,Sand,1,5,-105.582387776863,40.0500233371757
Trough,Sand,2,5,-105.582386106156,40.0499647828883
Trough,Sand,3,7,-105.582384994347,40.0498341486383
Trough,Sand,5,5,-105.582354729881,40.0499973753164
Trough,Sand,6,6,-105.582361372693,40.0499513927436
